sala,Localização,Latitude,Longitude,nome da rede,banda,largura,canal,wifi mode,mimo,sinal,Velocidade de downlink,velocidade de uplink,latência,jitter,Room,Position,Is_Corredor
K,"laboratorio de informatica K01-S, p1",,,eduroam,2.4 GHz,20 MHz,1.0,802.11n (Wi-Fi 4),3x3,-41 dBm,30 Mbps,37 Mbps,23 ms,2 ms,K01,p1,FALSE
K,"laboratorio de informatica K01-S, p2",,,eduroam,5 GHz,40 MHz,116.0,802.11ac (Wi-Fi 5),3x3,-54 dBm,62 Mbps,94 Mbps,24 ms,0 ms,K01,p2,FALSE
K,"laboratorio de informatica K01-S, p2",,,eduroam,2.4 GHz,20 MHz,1.0,802.11n (Wi-Fi 4),3x3,-46 dBm,44 Mbps,44 Mbps,23 ms,1 ms,K01,p2,FALSE
K,"laboratorio de informatica K01-S, p3",,,eduroam,5 GHz,40 MHz,116.0,802.11ac (Wi-Fi 5),3x3,-66 dBm,80 Mbps,70 Mbps,28 ms,1 ms,K01,p3,FALSE
K,"laboratorio de informatica K01-S, p3",,,eduroam,2.4 GHz,20 MHz,1.0,802.11n (Wi-Fi 4),3x3,-45 dBm,14 Mbps,11 Mbps,166 ms,177 ms,K01,p3,FALSE
K,"laboratorio de informatica K01-S, p4",,,eduroam,5 GHz,40 MHz,116.0,802.11ac (Wi-Fi 5),3x3,-68 dBm,94 Mbps,61 Mbps,24 ms,0 ms,K01,p4,FALSE
K,"laboratorio de informatica K01-S, p4",,,eduroam,2.4 GHz,20 MHz,1.0,802.11n (Wi-Fi 4),3x3,-51 dBm,4 Mbps,0 Mbps,158 ms,125 ms,K01,p4,FALSE
K,"laboratorio de informatica K01-S, p5",,,eduroam,5 GHz,40 MHz,116.0,802.11ac (Wi-Fi 5),3x3,-61 dBm,85 Mbps,71 Mbps,24 ms,1 ms,K01,p5,FALSE
K,"laboratorio de informatica K01-S, p5",,,eduroam,2.4 GHz,20 MHz,1.0,802.11n (Wi-Fi 4),3x3,-55 dBm,9 Mbps,0 Mbps,76 ms,63 ms,K01,p5,FALSE
K,"dentro K05, p1",,,eduroam,5 GHz,40 MHz,132.0,802.11ac (Wi-Fi 5),3x3,-57 dBm,100 Mbps,136 Mbps,68 ms,54 ms,K05,p1,FALSE
K,"dentro K05, p1",,,eduroam,2.4 GHz,20 MHz,1.0,802.11n (Wi-Fi 4),3x3,-28 dBm,19 Mbps,28 Mbps,21 ms,0 ms,K05,p1,FALSE
K,"dentro K05, p2",,,eduroam,5 GHz,40 MHz,132.0,802.11ac (Wi-Fi 5),3x3,-51 dBm,193 Mbps,143 Mbps,22 ms,0 ms,K05,p2,FALSE
K,"dentro K05, p2",,,eduroam,2.4 GHz,20 MHz,1.0,802.11n (Wi-Fi 4),3x3,-35 dBm,14 Mbps,0 Mbps,21 ms,5 ms,K05,p2,FALSE
K,"dentro K05, p3",,,eduroam,5 GHz,40 MHz,132.0,802.11ac (Wi-Fi 5),3x3,-64 dBm,115 Mbps,74 Mbps,24 ms,1 ms,K05,p3,FALSE
K,"dentro K05, p3",,,eduroam,2.4 GHz,20 MHz,1.0,802.11n (Wi-Fi 4),3x3,-28 dBm,18 Mbps,0 Mbps,21 ms,2 ms,K05,p3,FALSE
K,"dentro K05, p4",,,eduroam,5 GHz,40 MHz,132.0,802.11ac (Wi-Fi 5),3x3,-70 dBm,99 Mbps,44 Mbps,59 ms,50 ms,K05,p4,FALSE
K,"dentro K05, p4",,,eduroam,2.4 GHz,20 MHz,1.0,802.11n (Wi-Fi 4),3x3,-28 dBm,5 Mbps,6 Mbps,121 ms,50 ms,K05,p4,FALSE
K,"dentro K05, p5",,,eduroam,5 GHz,40 MHz,132.0,802.11ac (Wi-Fi 5),3x3,-63 dBm,98 Mbps,92 Mbps,25 ms,0 ms,K05,p5,FALSE
K,"dentro K05, p5",,,eduroam,2.4 GHz,20 MHz,1.0,802.11n (Wi-Fi 4),3x3,-28 dBm,8 Mbps,17 Mbps,22 ms,1 ms,K05,p5,FALSE
K,"dentro K06, p1",,,eduroam,5 GHz,40 MHz,132.0,802.11ac (Wi-Fi 5),3x3,-63 dBm,98 Mbps,92 Mbps,25 ms,0 ms,K06,p1,FALSE
K,"dentro K06, p1",,,eduroam,2.4 GHz,20 MHz,1.0,802.11n (Wi-Fi 4),3x3,-28 dBm,48 Mbps,91 Mbps,21 ms,0 ms,K06,p1,FALSE
K,"dentro K06, p2",,,eduroam,5 GHz,40 MHz,132.0,802.11ac (Wi-Fi 5),3x3,-57 dBm,147 Mbps,166 Mbps,38 ms,12 ms,K06,p2,FALSE
K,"dentro K06, p2",,,eduroam,2.4 GHz,20 MHz,1.0,802.11n (Wi-Fi 4),3x3,-28 dBm,49 Mbps,76 Mbps,21 ms,0 ms,K06,p2,FALSE
K,"dentro K06, p3",,,eduroam,5 GHz,40 MHz,132.0,802.11ac (Wi-Fi 5),3x3,-65 dBm,134 Mbps,88 Mbps,44 ms,27 ms,K06,p3,FALSE
K,"dentro K06, p3",,,eduroam,2.4 GHz,20 MHz,1.0,802.11n (Wi-Fi 4),3x3,-28 dBm,36 Mbps,52 Mbps,22 ms,1 ms,K06,p3,FALSE
K,"dentro K06, p4",,,eduroam,5 GHz,40 MHz,132.0,802.11ac (Wi-Fi 5),3x3,-69 dBm,96 Mbps,71 Mbps,36 ms,10 ms,K06,p4,FALSE
K,"dentro K06, p4",,,eduroam,2.4 GHz,20 MHz,1.0,802.11n (Wi-Fi 4),3x3,-28 dBm,25 Mbps,41 Mbps,22 ms,1 ms,K06,p4,FALSE
K,"dentro K06, p5",,,eduroam,5 GHz,40 MHz,132.0,802.11ac (Wi-Fi 5),3x3,-67 dBm,157 Mbps,77 Mbps,52 ms,33 ms,K06,p5,FALSE
K,"dentro K06, p5",,,eduroam,2.4 GHz,20 MHz,1.0,802.11n (Wi-Fi 4),3x3,-28 dBm,29 Mbps,25 Mbps,21 ms,1 ms,K06,p5,FALSE
K,"corredor bloco K ,fim",,,eduroam,5 GHz,40 MHz,132.0,802.11ac (Wi-Fi 5),3x3,-36 dBm,194 Mbps,214 Mbps,24 ms,0 ms,K,,TRUE
K,"corredor bloco K ,fim",,,eduroam,2.4 GHz,20 MHz,1.0,802.11n (Wi-Fi 4),3x3,-28 dBm,10 Mbps,23 Mbps,28 ms,3 ms,K,,TRUE
K,"corredor bloco K ,meio",,,eduroam,5 GHz,40 MHz,132.0,802.11ac (Wi-Fi 5),3x3,-36 dBm,243 Mbps,253 Mbps,25 ms,1 ms,K,,TRUE
K,"corredor bloco K ,meio",,,eduroam,2.4 GHz,20 MHz,1.0,802.11n (Wi-Fi 4),3x3,-64 dBm,36 Mbps,58 Mbps,21 ms,0 ms,K,,TRUE
K,"corredor bloco K ,inicio",,,eduroam,5 GHz,40 MHz,132.0,802.11ac (Wi-Fi 5),3x3,-52 dBm,45 Mbps,62 Mbps,26 ms,2 ms,K,,TRUE
K,"corredor bloco K ,inicio",,,eduroam,2.4 GHz,20 MHz,1.0,802.11n (Wi-Fi 4),3x3,-28 dBm,25 Mbps,51 Mbps,21 ms,1 ms,K,,TRUE
K,"dentro K03, p1",,,eduroam,5 GHz,40 MHz,132.0,802.11ac (Wi-Fi 5),3x3,-57 dBm,142 Mbps,126 Mbps,53 ms,40 ms,K03,p1,FALSE
K,"dentro K03, p1",,,eduroam,2.4 GHz,20 MHz,1.0,802.11n (Wi-Fi 4),3x3,-45 dBm,10 Mbps,23 Mbps,22 ms,3 ms,K03,p1,FALSE
K,"dentro K03, p2",,,eduroam,5 GHz,40 MHz,132.0,802.11ac (Wi-Fi 5),3x3,-53 dBm,157 Mbps,140 Mbps,56 ms,42 ms,K03,p2,FALSE
K,"dentro K03, p2",,,eduroam,2.4 GHz,20 MHz,1.0,802.11n (Wi-Fi 4),3x3,-28 dBm,25 Mbps,51 Mbps,22 ms,1 ms,K03,p2,FALSE
K,"dentro K03, p3",,,eduroam,5 GHz,40 MHz,132.0,802.11ac (Wi-Fi 5),3x3,-59 dBm,149 Mbps,93 Mbps,57 ms,43 ms,K03,p3,FALSE
K,"dentro K03, p3",,,eduroam,2.4 GHz,20 MHz,1.0,802.11n (Wi-Fi 4),3x3,-28 dBm,14 Mbps,31 Mbps,23 ms,1 ms,K03,p3,FALSE
K,"dentro K03, p4",,,eduroam,5 GHz,40 MHz,132.0,802.11ac (Wi-Fi 5),3x3,-65 dBm,99 Mbps,53 Mbps,26 ms,2 ms,K03,p4,FALSE
K,"dentro K03, p4",,,eduroam,2.4 GHz,20 MHz,1.0,802.11n (Wi-Fi 4),3x3,-28 dBm,14 Mbps,31 Mbps,26 ms,3 ms,K03,p4,FALSE
K,"dentro K03, p5",,,eduroam,5 GHz,40 MHz,132.0,802.11ac (Wi-Fi 5),3x3,-64 dBm,49 Mbps,48 Mbps,49 ms,39 ms,K03,p5,FALSE
K,"dentro K03, p5",,,eduroam,2.4 GHz,20 MHz,1.0,802.11n (Wi-Fi 4),3x3,-28 dBm,8 Mbps,2 Mbps,33 ms,9 ms,K03,p5,FALSE
